strike;date_expiration;bid;ask;volume;open_interest;date_obs;;;;;;;;;;;;;;;
75;20/06/2025;143.15;144.75;1;295;23/03/2025;;;;;;;;;;;;;;;
80;20/06/2025;138.70;139.85;3;309;23/03/2025;;;;;;;;;;;;;;;
85;20/06/2025;133.30;134.65;6;725;23/03/2025;;;;;;;;;;;;;;;
90;20/06/2025;128.40;129.90;40;487;23/03/2025;;;;;;;;;;;;;;;
95;20/06/2025;123.75;124.75;1;3,699;23/03/2025;;;;;;;;;;;;;;;
100;20/06/2025;119.00;120.05;3;325;23/03/2025;;;;;;;;;;;;;;;
105;20/06/2025;114.05;115.20;2;194;23/03/2025;;;;;;;;;;;;;;;
110;20/06/2025;108.70;110.25;5;477;23/03/2025;;;;;;;;;;;;;;;
115;20/06/2025;104.25;105.35;5;390;23/03/2025;;;;;;;;;;;;;;;
120;20/06/2025;99.25;100.20;1;1,254;23/03/2025;;;;;;;;;;;;;;;
125;20/06/2025;93.95;95.50;11;428;23/03/2025;;;;;;;;;;;;;;;
130;20/06/2025;89.40;90.40;27;737;23/03/2025;;;;;;;;;;;;;;;
135;20/06/2025;84.55;85.55;10;783;23/03/2025;;;;;;;;;;;;;;;
140;20/06/2025;79.50;80.60;1;874;23/03/2025;;;;;;;;;;;;;;;
145;20/06/2025;74.80;75.65;1;877;23/03/2025;;;;;;;;;;;;;;;
150;20/06/2025;69.65;70.85;5;1,231;23/03/2025;;;;;;;;;;;;;;;
155;20/06/2025;64.95;66.00;25;1,014;23/03/2025;;;;;;;;;;;;;;;
160;20/06/2025;60.40;61.15;2;2,539;23/03/2025;;;;;;;;;;;;;;;
165;20/06/2025;55.90;56.40;1;1,631;23/03/2025;;;;;;;;;;;;;;;
170;20/06/2025;50.90;51.50;7;2,39;23/03/2025;;;;;;;;;;;;;;;
175;20/06/2025;46.50;46.85;6;2,414;23/03/2025;;;;;;;;;;;;;;;
180;20/06/2025;41.95;42.25;3;6,449;23/03/2025;;;;;;;;;;;;;;;
185;20/06/2025;37.50;37.80;19;3,078;23/03/2025;;;;;;;;;;;;;;;
190;20/06/2025;33.20;33.45;23;7,058;23/03/2025;;;;;;;;;;;;;;;
195;20/06/2025;28.85;29.25;25;7,819;23/03/2025;;;;;;;;;;;;;;;
200;20/06/2025;24.90;25.30;9;15,982;23/03/2025;;;;;;;;;;;;;;;
205;20/06/2025;21.20;21.60;48;7,078;23/03/2025;;;;;;;;;;;;;;;
210;20/06/2025;17.80;19.10;393;14,111;23/03/2025;;;;;;;;;;;;;;;
215;20/06/2025;14.70;14.90;837;12,466;23/03/2025;;;;;;;;;;;;;;;
220;20/06/2025;11.85;12.00;3,069;13,267;23/03/2025;;;;;;;;;;;;;;;
225;20/06/2025;9.35;9.50;301;7,012;23/03/2025;;;;;;;;;;;;;;;
230;20/06/2025;7.15;7.35;735;15,735;23/03/2025;;;;;;;;;;;;;;;
235;20/06/2025;5.35;5.50;396;20,716;23/03/2025;;;;;;;;;;;;;;;
240;20/06/2025;3.95;4.05;585;20,479;23/03/2025;;;;;;;;;;;;;;;
245;20/06/2025;2.85;2.96;558;19,988;23/03/2025;;;;;;;;;;;;;;;
250;20/06/2025;2.05;2.13;1,265;26,946;23/03/2025;;;;;;;;;;;;;;;
